"";"OB_0";"OB_1";"OB_3";"OB_7";"OB_10";"OB_12";"OB_14";"OB_16";"OB_17";"OB_24";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_30";"OB_32";"OB_33";"OB_35";"OB_36";"OB_40";"OB_41";"OB_47";"OB_52";"OB_58";"OB_60";"OB_62";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_70";"OB_71";"OB_74";"OB_79";"OB_80";"OB_82";"OB_85";"OB_87";"OB_88";"OB_90"
"OB_70";-0,00654679;-0,0228746;-0,0220233;-0,0373505;-0,0078309;-0,0319198;-0,0195128;-0,0263577;-0,0283927;-0,0106076;-0,00500737;0,00263682;-0,0156741;-0,02087;-0,0228752;-0,0247747;-0,0103233;-0,00343043;-0,00599558;-0,026292;0,0183993;-0,00625486;-0,0205258;-0,00102735;-0,00293303;-0,0131221;-0,00186803;-0,0227246;0,00597951;0,00307264;-0,0129085;-0,0111869;0;0,0221899;-0,00841463;-0,0236896;-0,0214099;-0,0332075;-0,0401175;-0,0134633;-0,00591355;0,0211308
"OB_71";-0,0359698;-0,00681704;-0,0234297;0,00895259;-0,0290525;-0,0141102;0,00268738;-0,0172735;-0,0349385;-0,0165235;-0,00977582;-0,0258384;-0,0139865;-0,013761;-0,0319789;-0,0389392;-0,0127144;-0,0191666;-0,000556048;-0,0289247;-0,00171776;-0,0256645;-0,00710038;0,00823986;-0,00941799;-0,0191723;-0,00380912;-0,0169872;0,018739;0,0181237;-0,00924701;-0,00382068;0,0221899;0;0,0157847;-0,0270771;-0,00495481;-0,035569;-0,0255554;-0,0311555;-0,045758;-0,00722833
"OB_74";-0,0405879;-0,0289979;-0,0378887;0,0611435;-0,0167161;-0,033175;-0,0416485;-0,0288576;-0,0270649;-0,0221487;-0,0300719;-0,0440666;-0,0289783;-0,00478047;-0,0223716;-0,035329;-0,00544315;-0,0253422;0,0225848;-0,0385681;-0,0111441;-0,0502855;-0,0149527;-0,0246613;-0,0393265;-0,0362227;-0,0146884;-0,00623625;0,00267452;0,00590471;0,0103952;-0,00764249;-0,00841463;0,0157847;0;-0,0384524;-0,0158058;-0,0317633;-0,0646834;-0,0117966;-0,0139136;-0,0115474
"OB_79";-0,00541969;-0,0197617;-0,0368299;0,00900326;-0,0227802;-0,0217765;0,0567743;-0,0290906;-0,0473555;-0,0250656;-0,0435339;-0,0363677;-0,0194602;-0,0338516;-0,0187429;-0,0483424;-0,0184304;-0,0279197;-0,0198072;-0,0270415;-0,00793032;-0,0397018;-0,0130454;-0,0238381;-0,0287193;-0,0133094;0,0375996;-0,0183659;-0,00314612;-0,0133373;-0,0565485;-0,0434288;-0,0236896;-0,0270771;-0,0384524;0;0,00112111;0,0225693;0,0136163;-0,0212857;-0,0311158;-0,0138469
"OB_80";-0,0160251;-0,0123384;-0,0132732;0,00458431;0,00490602;-0,0251314;-0,0219599;-0,0286301;-0,0361093;-0,0374171;-0,0205487;-0,0214944;-0,00889708;-0,00402733;-0,0384923;-0,0316691;-0,022201;-0,0264511;0,0196325;-0,0199249;-0,0225441;0,0125034;-0,0197292;-0,0113994;-0,0333512;-0,0347939;0,00710313;-0,0221532;-0,0244277;-0,0092739;0,0190523;-0,0279448;-0,0214099;-0,00495481;-0,0158058;0,00112111;0;-0,020872;-0,0210485;-0,0132708;-0,0330374;-0,0128662
"OB_82";-0,038369;-0,0306719;-0,0271846;-0,0538021;-0,0377993;-0,0375538;-0,0278974;-0,0125145;-0,0293577;-0,0266979;-0,0403996;-0,0264333;-0,0495438;-0,0312735;-0,0199618;-0,0359795;-0,0116622;-0,0349614;-0,029921;-0,036454;-0,0486955;-0,0394142;-0,0210203;-0,0400396;-0,0413343;0,0434575;-0,0179261;0,044934;0,0445675;0,025623;-0,0497396;-0,00367863;-0,0332075;-0,035569;-0,0317633;0,0225693;-0,020872;0;-0,0234012;-0,0204763;0,0126378;-0,038219
"OB_85";-0,0115499;-0,0309151;-0,0361011;-0,0609765;0,000822117;-0,0194121;-0,0469443;-0,00967906;-0,0417647;-0,0242545;-0,0485061;-0,0243015;-0,0288276;-0,00613102;-0,0400924;-0,0138973;-0,0202046;-0,00597617;-0,0366855;-0,0298244;-0,0520551;-0,0247135;-0,0126528;-0,0351798;-0,0460685;0,0533155;-0,0240814;-0,0336702;-0,0256043;-0,045417;-0,00864515;-0,0306581;-0,0401175;-0,0255554;-0,0646834;0,0136163;-0,0210485;-0,0234012;0;-0,0351586;-0,022452;-0,029125
"OB_87";-0,017705;-0,00399433;0,00951303;-0,0191037;-0,0112869;0,0142481;-0,0226067;0,00445512;-0,0179087;3,50307e-05;0,000748505;-0,00735746;-0,016748;0,00144971;-0,00111115;-0,00270215;-0,0223479;-0,00567023;-0,0303901;-0,010429;-0,0315381;0,0343708;-0,0049831;-0,0122825;-0,00466569;-0,0154876;-0,0314111;-0,0144451;-0,0122783;-0,0225285;-0,0137062;-0,0392765;-0,0134633;-0,0311555;-0,0117966;-0,0212857;-0,0132708;-0,0204763;-0,0351586;0;0,00492385;-0,0156894
"OB_88";-0,0122771;-0,00614439;-0,0149211;0,00165835;-0,0323769;-0,0184652;-0,0145794;0,00390489;0,00398664;-0,0233271;0,00280045;0,0390245;-0,0295133;0,0428518;0,00561785;0,00326052;-0,0371047;-0,0297144;-0,04129;0,00078916;-0,00978259;-0,0170041;-0,0291082;-0,0608586;-0,0373928;0,0120951;-0,0423093;-0,0418242;-0,0418627;-0,017143;-0,0305114;-0,0332333;-0,00591355;-0,045758;-0,0139136;-0,0311158;-0,0330374;0,0126378;-0,022452;0,00492385;0;0,00751309
"OB_90";-0,0111218;-0,00161975;-0,00716737;-0,0216512;-0,0226126;-0,0239039;-0,020728;-0,0281991;-0,00612714;-0,0188393;0,0178111;-0,0215937;-0,0186492;0,000374179;-0,0186419;-0,0218326;-0,00950059;0,00406906;0,0141885;-0,0273489;-0,0215125;0,0300944;-0,00618243;0,0087502;-0,0319544;-0,015862;-0,0332589;-0,0278229;-0,0197733;0,0461797;-0,0297709;-0,0216933;0,0211308;-0,00722833;-0,0115474;-0,0138469;-0,0128662;-0,038219;-0,029125;-0,0156894;0,00751309;0
